"country_name","continent","capital_name","capital_name_pl","capital_name_ru","capital_name_uz","country_name_pl","country_name_ru","country_name_uz","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Israel","Asia","Jerusalem","Jerozolima","Иерусалим","Quddus","Izrael","Израиль","Isroil","69ad3b237acbbcf72cee7d55","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Jordan","Asia","Amman","Amman","Амман","Amman","Jordania","Иордания","Iordaniya","69ad3b237acbbcf72cee7d59","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Latvia","Europe","Riga","Ryga","Рига","Riga","Łotwa","Латвия","Latviya","69ad3b237acbbcf72cee7d60","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Nepal","Asia","Kathmandu","Katmandu","Катманду","Katmandu","Nepal","Непал","Nepal","69ad3b237acbbcf72cee7d7c","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Niger","Africa","Niamey","Niamej","Ниамей","Niamey","Niger","Нигер","Niger","69ad3b237acbbcf72cee7d80","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Cameroon","Africa","Yaoundé","Jaunde","Яунде","Yaunde","Kamerun","Камерун","Kamerun","69ad3b237acbbcf72cee7d22","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Colombia","South America","Bogotá","Bogota","Богота","Bogota","Kolumbia","Колумбия","Kolumbiya","69ad3b237acbbcf72cee7d28","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Croatia","Europe","Zagreb","Zagrzeb","Загреб","Zagreb","Chorwacja","Хорватия","Xorvatiya","69ad3b237acbbcf72cee7d2e","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Greece","Europe","Athens","Ateny","Афины","Afina","Grecja","Греция","Gretsiya","69ad3b237acbbcf72cee7d46","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Grenada","North America","St. George's","Saint George’s","Сент-Джорджес","Sent-Jorjes","Grenada","Гренада","Grenada","69ad3b237acbbcf72cee7d47","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"North Macedonia","Europe","Skopje","Skopje","Скопье","Skopye","Macedonia Północna","Северная Македония","Shimoliy Makedoniya","69ad3b237acbbcf72cee7d83","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Cambodia","Asia","Phnom Penh","Phnom Penh","Пномпень","Pnompen","Kambodża","Камбоджа","Kambodja","69ad3b237acbbcf72cee7d21","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"China","Asia","Beijing","Pekin","Пекин","Pekin","Chiny","Китай","Xitoy","69ad3b237acbbcf72cee7d27","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Guinea-Bissau","Africa","Bissau","Bissau","Бисау","Bisau","Gwinea Bissau","Гвинея-Бисау","Gvineya-Bisau","69ad3b237acbbcf72cee7d4a","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Kyrgyzstan","Asia","Bishkek","Biszkek","Бишкек","Bishkek","Kirgistan","Киргизия","Qirgʻiziston","69ad3b237acbbcf72cee7d5e","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Mauritania","Africa","Nouakchott","Nawakszut","Нуакшот","Nuakshot","Mauretania","Мавритания","Mavritaniya","69ad3b237acbbcf72cee7d6f","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Nigeria","Africa","Abuja","Abudża","Абуджа","Abuja","Nigeria","Нигерия","Nigeriya","69ad3b237acbbcf72cee7d81","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ethiopia","Africa","Addis Ababa","Addis Abeba","Аддис-Абеба","Addis-Abeba","Etiopia","Эфиопия","Efiopiya","69ad3b237acbbcf72cee7d3d","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Maldives","Asia","Malé","Male","Мале","Male","Malediwy","Мальдивы","Maldiv orollari","69ad3b237acbbcf72cee7d6b","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Mozambique","Africa","Maputo","Maputo","Мапуту","Maputu","Mozambik","Мозамбик","Mozambik","69ad3b237acbbcf72cee7d78","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Oman","Asia","Muscat","Maskat","Маскат","Maskat","Oman","Оман","Ummon","69ad3b237acbbcf72cee7d85","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Costa Rica","North America","San José","San José","Сан-Хосе","San-Xose","Kostaryka","Коста-Рика","Kosta-Rika","69ad3b237acbbcf72cee7d2c","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"El Salvador","North America","San Salvador","San Salwador","Сан-Сальвадор","San-Salvador","Salwador","Сальвадор","Salvador","69ad3b237acbbcf72cee7d38","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Guyana","South America","Georgetown","Georgetown","Джорджтаун","Jorjtaun","Gujana","Гайана","Gayana","69ad3b237acbbcf72cee7d4b","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Libya","Africa","Tripoli","Trypolis","Триполи","Tripoli","Libia","Ливия","Liviya","69ad3b237acbbcf72cee7d64","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Malta","Europe","Valletta","Valletta","Валлетта","Valletta","Malta","Мальта","Malta","69ad3b237acbbcf72cee7d6d","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Canada","North America","Ottawa","Ottawa","Оттава","Ottava","Kanada","Канада","Kanada","69ad3b237acbbcf72cee7d23","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Equatorial Guinea","Africa","Malabo","Malabo","Малабо","Malabo","Gwinea Równikowa","Экваториальная Гвинея","Ekvatorial Gvineya","69ad3b237acbbcf72cee7d39","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"New Zealand","Oceania","Wellington","Wellington","Веллингтон","Vellington","Nowa Zelandia","Новая Зеландия","Yangi Zelandiya","69ad3b237acbbcf72cee7d7e","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"North Korea","Asia","Pyongyang","Pjongjang","Пхеньян","Pxenyan","Korea Północna","Северная Корея","Shimoliy Koreya","69ad3b237acbbcf72cee7d82","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Central African Republic","Africa","Bangui","Bangi","Банги","Bangi","Republika Środkowoafrykańska","Центральноафриканская Республика","Markaziy Afrika Respublikasi","69ad3b237acbbcf72cee7d24","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Cuba","North America","Havana","Hawana","Гавана","Gavana","Kuba","Куба","Kuba","69ad3b237acbbcf72cee7d2f","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Estonia","Europe","Tallinn","Tallinn","Таллин","Tallin","Estonia","Эстония","Estoniya","69ad3b237acbbcf72cee7d3b","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Indonesia","Asia","Jakarta","Dżakarta","Джакарта","Jakarta","Indonezja","Индонезия","Indoneziya","69ad3b237acbbcf72cee7d51","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Liberia","Africa","Monrovia","Monrowia","Монровия","Monroviya","Liberia","Либерия","Liberiya","69ad3b237acbbcf72cee7d63","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Mexico","North America","Mexico City","Meksyk","Мехико","Mexiko","Meksyk","Мексика","Meksika","69ad3b237acbbcf72cee7d71","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Monaco","Europe","Monaco","Monako","Монако","Monako","Monako","Монако","Monako","69ad3b237acbbcf72cee7d74","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Norway","Europe","Oslo","Oslo","Осло","Oslo","Norwegia","Норвегия","Norvegiya","69ad3b237acbbcf72cee7d84","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Burkina Faso","Africa","Ouagadougou","Wagadugu","Уагадугу","Uagadugu","Burkina Faso","Буркина-Фасо","Burkina-Faso","69ad3b237acbbcf72cee7d1e","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Haiti","North America","Port-au-Prince","Port-au-Prince","Порт-о-Пренс","Port-o-Prins","Haiti","Гаити","Gaiti","69ad3b237acbbcf72cee7d4c","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Honduras","North America","Tegucigalpa","Tegucigalpa","Тегусигальпа","Tegusigalpa","Honduras","Гондурас","Gonduras","69ad3b237acbbcf72cee7d4d","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Japan","Asia","Tokyo","Tokio","Токио","Tokio","Japonia","Япония","Yaponiya","69ad3b237acbbcf72cee7d58","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Mali","Africa","Bamako","Bamako","Бамако","Bamako","Mali","Мали","Mali","69ad3b237acbbcf72cee7d6c","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Micronesia","Oceania","Palikir","Palikir","Паликир","Palikir","Mikronezja","Микронезия","Mikroneziya","69ad3b237acbbcf72cee7d72","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Namibia","Africa","Windhoek","Windhuk","Виндхук","Vindxuk","Namibia","Намибия","Namibiya","69ad3b237acbbcf72cee7d7a","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Chile","South America","Santiago","Santiago","Сантьяго","Santyago","Chile","Чили","Chili","69ad3b237acbbcf72cee7d26","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Côte d'Ivoire","Africa","Yamoussoukro","Jamusukro","Ямусукро","Yamusukro","Wybrzeże Kości Słoniowej","Кот-д’Ивуар","Kot-d'Ivuar","69ad3b237acbbcf72cee7d2d","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Czech Republic","Europe","Prague","Praga","Прага","Praga","Czechy","Чехия","Chexiya","69ad3b237acbbcf72cee7d31","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ireland","Europe","Dublin","Dublin","Дублин","Dublin","Irlandia","Ирландия","Irlandiya","69ad3b237acbbcf72cee7d54","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Italy","Europe","Rome","Rzym","Рим","Rim","Włochy","Италия","Italiya","69ad3b237acbbcf72cee7d56","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Jamaica","North America","Kingston","Kingston","Кингстон","Kingston","Jamajka","Ямайка","Yamayka","69ad3b237acbbcf72cee7d57","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Laos","Asia","Vientiane","Wientian","Вьентьян","Ventyan","Laos","Лаос","Laos","69ad3b237acbbcf72cee7d5f","2026-03-08T09:02:27.069000","2026-07-08T18:01:56.741000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Lesotho","Africa","Maseru","Maseru","Масеру","Maseru","Lesotho","Лесото","Lesoto","69ad3b237acbbcf72cee7d62","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Morocco","Africa","Rabat","Rabat","Рабат","Rabot","Maroko","Марокко","Marokko","69ad3b237acbbcf72cee7d77","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Germany","Europe","Berlin","Berlin","Берлин","Berlin","Niemcy","Германия","Germaniya","69ad3b237acbbcf72cee7d44","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"India","Asia","New Delhi","New Delhi","Нью-Дели","Nyu-Deli","Indie","Индия","Hindiston","69ad3b237acbbcf72cee7d50","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Iraq","Asia","Baghdad","Bagdad","Багдад","Bagʻdod","Irak","Ирак","Iroq","69ad3b237acbbcf72cee7d53","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Lebanon","Asia","Beirut","Bejrut","Бейрут","Bayrut","Liban","Ливан","Livan","69ad3b237acbbcf72cee7d61","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Madagascar","Africa","Antananarivo","Antananarywa","Антананариву","Antananarivu","Madagaskar","Мадагаскар","Madagaskar","69ad3b237acbbcf72cee7d68","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Moldova","Europe","Chisinau","Kiszyniów","Кишинёв","Kishinyov","Mołdawia","Молдавия","Moldova","69ad3b237acbbcf72cee7d73","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Nicaragua","North America","Managua","Managua","Манагуа","Managua","Nikaragua","Никарагуа","Nikaragua","69ad3b237acbbcf72cee7d7f","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Comoros","Africa","Moroni","Moroni","Морони","Moroni","Komory","Коморские Острова","Komor orollari","69ad3b237acbbcf72cee7d29","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ecuador","South America","Quito","Quito","Кито","Kito","Ekwador","Эквадор","Ekvador","69ad3b237acbbcf72cee7d36","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Iran","Asia","Tehran","Teheran","Тегеран","Tehron","Iran","Иран","Eron","69ad3b237acbbcf72cee7d52","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Dominica","North America","Roseau","Roseau","Розо","Rozo","Dominika","Доминика","Dominika","69ad3b237acbbcf72cee7d34","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Guatemala","North America","Guatemala City","Gwatemala","Гватемала","Gvatemala","Gwatemala","Гватемала","Gvatemala","69ad3b237acbbcf72cee7d48","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Kenya","Africa","Nairobi","Nairobi","Найроби","Nayrobi","Kenia","Кения","Keniya","69ad3b237acbbcf72cee7d5b","2026-03-08T09:02:27.069000","2026-07-08T18:01:30.523000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Malawi","Africa","Lilongwe","Lilongwe","Лилонгве","Lilongve","Malawi","Малави","Malavi","69ad3b237acbbcf72cee7d69","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Malaysia","Asia","Kuala Lumpur","Kuala Lumpur","Куала-Лумпур","Kuala-Lumpur","Malezja","Малайзия","Malayziya","69ad3b237acbbcf72cee7d6a","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Chad","Africa","N'Djamena","Ndżamena","Нджамена","Njamena","Czad","Чад","Chad","69ad3b237acbbcf72cee7d25","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Congo, Rep.","Africa","Brazzaville","Brazzaville","Браззавиль","Brazzavil","Kongo","Республика Конго","Kongo Respublikasi","69ad3b237acbbcf72cee7d2b","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Georgia","Asia","Tbilisi","Tbilisi","Тбилиси","Tbilisi","Gruzja","Грузия","Gruziya","69ad3b237acbbcf72cee7d43","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Iceland","Europe","Reykjavik","Reykjavík","Рейкьявик","Reykyavik","Islandia","Исландия","Islandiya","69ad3b237acbbcf72cee7d4f","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Kiribati","Oceania","Tarawa","Tarawa","Тарава","Tarava","Kiribati","Кирибати","Kiribati","69ad3b237acbbcf72cee7d5c","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Kuwait","Asia","Kuwait City","Kuwejt","Эль-Кувейт","Al-Quvayt","Kuwejt","Кувейт","Quvayt","69ad3b237acbbcf72cee7d5d","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Lithuania","Europe","Vilnius","Wilno","Вильнюс","Vilnyus","Litwa","Литва","Litva","69ad3b237acbbcf72cee7d66","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Nauru","Oceania","Yaren District (de facto)","Yaren","Ярен","Yaren","Nauru","Науру","Nauru","69ad3b237acbbcf72cee7d7b","2026-03-08T09:02:27.069000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Bahrain","Asia","Manama","Manama","Манама","Manama","Bahrajn","Бахрейн","Bahrayn","69ad3b237acbbcf72cee7d10","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Argentina","South America","Buenos Aires","Buenos Aires","Буэнос-Айрес","Buenos-Ayres","Argentyna","Аргентина","Argentina","69ad3b237acbbcf72cee7d0a","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Australia","Oceania","Canberra","Canberra","Канберра","Kanberra","Australia","Австралия","Avstraliya","69ad3b237acbbcf72cee7d0c","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Albania","Europe","Tirana","Tirana","Тирана","Tirana","Albania","Албания","Albaniya","69ad3b237acbbcf72cee7d05","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Antigua and Barbuda","North America","Saint John's","Saint John's","Сент-Джонс","Sent-Jons","Antigua i Barbuda","Антигуа и Барбуда","Antigua va Barbuda","69ad3b237acbbcf72cee7d09","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Andorra","Europe","Andorra la Vella","Andora","Андорра-ла-Велья","Andorra-la-Velya","Andora","Андорра","Andorra","69ad3b237acbbcf72cee7d07","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Bangladesh","Asia","Dhaka","Dhaka","Дакка","Dakka","Bangladesz","Бангладеш","Bangladesh","69ad3b237acbbcf72cee7d11","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Brunei","Asia","Bandar Seri Begawan","Bandar Seri Begawan","Бандар-Сери-Бегаван","Bandar-Seri-Begavan","Brunei","Бруней","Bruney","69ad3b237acbbcf72cee7d1c","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Belize","North America","Belmopan","Belmopan","Бельмопан","Belmopan","Belize","Белиз","Beliz","69ad3b237acbbcf72cee7d15","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Brazil","South America","Brasília","Brasília","Бразилиа","Braziliya","Brazylia","Бразилия","Braziliya","69ad3b237acbbcf72cee7d1b","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Armenia","Asia","Yerevan","Erywań","Ереван","Yerevan","Armenia","Армения","Armaniston","69ad3b237acbbcf72cee7d0b","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Belarus","Europe","Minsk","Mińsk","Минск","Minsk","Białoruś","Беларусь","Belarus","69ad3b237acbbcf72cee7d13","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Bhutan","Asia","Thimphu","Thimphu","Тхимпху","Thimphu","Bhutan","Бутан","Butan","69ad3b237acbbcf72cee7d17","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Bosnia and Herzegovina","Europe","Sarajevo","Sarajewo","Сараево","Sarayevo","Bośnia i Hercegowina","Босния и Герцеговина","Bosniya va Gersegovina","69ad3b237acbbcf72cee7d19","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Austria","Europe","Vienna","Wiedeń","Вена","Vena","Austria","Австрия","Avstriya","69ad3b237acbbcf72cee7d0d","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Bahamas","North America","Nassau","Nassau","Нассау","Nassau","Bahamy","Багамские Острова","Bagama orollari","69ad3b237acbbcf72cee7d0f","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Afghanistan","Asia","Kabul","Kabul","Кабул","Kobul","Afganistan","Афганистан","Afg'oniston","69ad3b237acbbcf72cee7d04","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Algeria","Africa","Algiers","Algier","Алжир","Jazoir","Algieria","Алжир","Jazoir","69ad3b237acbbcf72cee7d06","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Benin","Africa","Porto-Novo","Porto-Novo","Порто-Ново","Porto-Novo","Benin","Бенин","Benin","69ad3b237acbbcf72cee7d16","2026-03-08T09:02:27.068000","2026-07-08T18:02:13.430000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
